estacionID,fecha,nivel
GARVC,2021/04/06 00:00:00,4.840
HLSVC,2021/04/06 00:00:00,0.130
IDOVC,2021/04/06 00:00:00,84.550
JCRVC,2021/04/06 00:00:00,1.600
JDCVC,2021/04/06 00:00:00,2.680
LAUVC,2021/04/06 00:00:00,8.760
LCEVC,2021/04/06 00:00:00,4.750
LIBVC,2021/04/06 00:00:00,47.140
LPEVC,2021/04/06 00:00:00,3.100
MDTVC,2021/04/06 00:00:00,58.020
MNZVC,2021/04/06 00:00:00,0.600
OLVVC,2021/04/06 00:00:00,5.260
PDTVC,2021/04/06 00:00:00,0.480
PNCVC,2021/04/06 00:00:00,0.080
PRCVC,2021/04/06 00:00:00,38.000
PSNVC,2021/04/06 00:00:00,0.400
PTGVC,2021/04/06 00:00:00,104.880
SBTVC,2021/04/06 00:00:00,37.380
SJCVC,2021/04/06 00:00:00,36.790
SJEVC,2021/04/06 00:00:00,16.390
TMOVC,2021/04/06 00:00:00,7.000
TMPVC,2021/04/06 00:00:00,0.950
TOMVC,2021/04/06 00:00:00,0.870
TXPVC,2021/04/06 00:00:00,0.300
VAZVC,2021/04/06 00:00:00,10.640
SFOZC,2021/04/06 00:00:00,0.450
B24215,2021/04/06 00:00:00,0.720
LMIGJ,2021/04/06 00:00:00,0.000
LMDGJ,2021/04/06 00:00:00,0.000
RSSMX,2021/04/06 00:00:00,0.660


